id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
26,a,,,7.5,17,6,0,0,0,0,7.0,61,8,8,2,4.0,94,15,0,39,4.0,88,11,0.5,1.1,0,240709,53101,129964,91139,4.0,4.0,0.28,0.06,0.34,0.53,0.14,0.03,0.17,0.26,39.6,94,8,16.6,140,13,48.0,36,11,10.4,65,9,,,,2,,Kai,Havertz,Havertz,,,180,1,0,2,0,0,0,0,0,0,0,2,7,,,,0.0,1.0,0.0,1.0,3.5,0,2,5
405,a,,,5.5,175,107,0,0,0,0,0.2,328,116,2,2,2.0,177,87,0,9,1.0,255,121,0.2,0.4,0,9746,7359,3847,2105,1.0,1.0,0.0,0.2,0.2,0.74,0.0,0.26,0.26,0.95,7.2,252,111,29.5,84,52,0.0,601,255,3.7,205,91,,,,2,,Nico,González Iglesias,N.Gonzalez,,,70,0,0,1,0,0,0,0,1,0,0,1,4,,,,0.0,1.29,0.0,1.29,5.14,0,2,2
442,a,,,5.0,242,6,0,0,0,0,1.1,178,26,0,0,0.0,526,66,0,0,0.0,526,66,0.0,0.0,0,6375,3669,26790,14486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,66,0.0,512,55,0.0,459,54,0.0,518,66,,,,2,,Nick,Pope,Pope,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
443,a,,,4.5,427,26,0,0,0,0,0.0,524,59,0,0,0.0,418,47,0,0,0.0,418,47,0.0,0.0,0,351,189,527,296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,47,0.0,393,28,0.0,325,27,0.0,409,47,,,,2,,Mark,Gillespie,Gillespie,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
444,a,,,4.5,533,48,0,0,0,0,0.0,545,63,0,0,0.0,478,64,0,0,0.0,478,64,0.0,0.0,0,257,133,705,357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459,64,0.0,461,50,0.0,403,49,0.0,469,64,,,,2,,Ewen,Jaouen,Jaouen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
445,a,,,5.0,317,57,0,0,0,0,2.0,129,54,9,6,4.5,71,25,0,25,4.5,67,24,0.9,1.8,0,59559,39761,31633,20735,4.5,4.5,0.0,0.02,0.02,4.1,0.0,0.01,0.01,2.05,44.6,74,29,1.7,261,90,0.0,508,199,4.6,182,68,,,,2,,Malick,Thiaw,Thiaw,,,180,0,0,1,2,0,0,0,0,0,0,2,18,,,,0.0,0.5,1.0,1.0,9.0,0,18,3
446,a,100.0,100.0,5.0,247,37,0,0,0,0,0.2,319,118,1,0,1.0,264,102,0,-1,0.5,299,110,0.1,0.2,0,3321,1426,5646,3761,0.5,0.5,0.0,0.0,0.0,0.79,0.0,0.0,0.0,71.1,0.0,513,196,0.0,515,197,0.0,464,189,0.0,521,196,,2.0,,2,,Fabian,Schär,Schär,,,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,90.0,0.0,0.0,0,0,0
447,a,,,5.0,281,46,0,0,0,0,0.6,236,86,8,5,4.0,83,31,0,26,4.0,80,31,0.8,1.6,0,19969,11084,8011,4729,4.0,4.0,0.01,0.01,0.02,4.1,0.0,0.0,0.0,2.05,43.6,76,31,2.1,244,81,2.0,230,86,4.8,178,65,,,,2,,Sven,Botman,Botman,,,180,0,0,1,2,0,0,0,1,0,0,2,15,,,,0.0,0.5,1.0,1.0,7.5,1,14,6
448,i,0.0,0.0,4.9,394,71,-1,1,-1,1,1.2,172,70,0,0,0.0,506,190,0,0,0.0,506,190,0.0,0.0,0,6720,473,112136,36825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489,191,0.0,490,192,0.0,435,183,0.0,498,191,,,,2,,Dan,Burn,Burn,Ankle injury - Expected back 14 Sep,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
449,a,,,5.1,236,35,1,-1,1,-1,8.5,47,17,14,11,7.0,26,10,3,60,7.0,25,9,1.4,2.7,0,441539,388838,65203,45767,7.0,7.0,0.03,0.66,0.69,4.1,0.02,0.33,0.35,2.05,61.0,27,8,42.5,45,9,4.0,201,71,10.7,60,13,1.0,1.0,,2,,Lewis,Hall,Hall,,,180,0,0,1,2,0,0,0,0,0,0,2,24,,,,0.0,0.5,1.0,1.0,12.0,7,17,14
