id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
640,Zian,Flemming,Flemming,a,,,5.5,152,38,0.0,566,74,1.0,245,29,1,0,0,0,0,287,54,0.2,0.2,1.8,1.8,1.0,337,39,,,609,65,613,69,598,67,614,69,,,,,,,,0.08,0.04,0.12,0.22,0.0,0.0,0.0,0.0,0.0,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,4,314,58,0,0.02,0.01,0.03,0.06,0.0,0.0,0.0,0.0,0,0,0,0
260,Harry,Wilson,Wilson,a,,,6.4,47,32,3.9,89,29,1.3,220,103,0,0,0,-1,1,461,11605,0.2,0.6,1.3,1.3,1.3,250,115,,,209,83,90,56,150,74,164,78,2.0,,,,,,,0.01,0.04,0.05,1.86,0.0,0.71,0.0,0.71,6.38,3,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,498,12861,0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0,0,1,1
326,Lucas Estella,Perri,Perri,u,Has joined Torino on loan for the rest of the season,,4.5,459,34,0.4,267,35,0.0,453,55,0,0,0,0,0,0,1092,0.0,0.0,0.0,0.0,0.0,453,55,0.0,0.0,416,55,411,36,346,35,426,55,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
327,Jaka,Bijol,Bijol,a,,,5.0,298,52,0.9,199,77,4.0,64,27,1,0,0,0,0,754,1427,0.8,2.4,4.0,4.0,4.0,77,31,,,131,59,298,111,115,35,179,66,,,,,,,,0.06,0.0,0.06,1.58,0.0,0.55,1.1,1.1,11.52,3,1,29,0,0,0,1,0,0,0,0,0,0,0,0,1,817,1529,0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,2,2,0,4
329,Joe,Rodon,Rodon,i,Hamstring injury - Expected back 21 Nov,,4.5,462,102,2.1,125,51,2.3,134,52,0,0,0,0,0,18,14785,0.5,1.6,0.0,0.0,3.5,97,34,0.0,0.0,164,76,151,46,165,57,185,69,,,,,,,,0.02,0.04,0.06,0.74,0.0,0.73,0.0,1.46,8.05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
330,Jayden,Bogle,Bogle,a,,,4.5,471,110,0.6,241,89,7.3,7,1,14,0,0,0,0,5009,522,1.6,4.9,7.3,7.3,7.3,18,7,,,150,68,165,50,197,70,188,71,,,,,,,,0.37,0.01,0.38,0.66,0.0,0.83,0.41,1.24,4.56,3,14,60,1,0,1,0,0,0,0,1,0,0,1,3,30,5052,574,0,0.9,0.019999999999999997,0.92,0.19000000000000017,0.0,0.0,0.0,0.0,0,1,0,1
331,Gabriel,Gudmundsson,Gudmundsson,a,,,4.5,481,116,0.0,497,173,0.7,268,94,2,0,0,0,0,92,48,0.2,0.4,0.7,0.7,2.0,180,69,100.0,100.0,425,170,422,170,359,155,435,170,,,,,,,,0.0,0.0,0.0,1.86,0.0,0.0,1.0,1.0,5.0,3,2,90,0,0,0,1,0,0,0,0,0,0,1,0,9,99,49,0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,3,2,9,5
332,James,Justin,Justin,a,,,4.5,466,106,1.5,148,63,5.3,34,14,4,0,0,0,0,2544,1526,1.2,3.6,5.3,5.3,5.3,46,18,,,61,24,154,47,137,45,113,40,,,,,,,,0.05,0.01,0.06,1.4,0.0,0.33,0.67,1.0,10.0,3,4,90,0,0,0,1,0,0,0,0,0,0,1,0,9,2818,1691,0,0.13,0.0,0.13,1.8600000000000003,0.0,0.0,0.0,0.0,3,7,4,10
333,Sebastiaan,Bornauw,Bornauw,u,Has joined Hamburg SV on loan for the rest of the season,,4.5,491,125,0.0,638,212,0.0,467,181,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,467,181,0.0,0.0,431,175,428,175,367,162,441,175,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
334,Tarik,Muharemović,Muharemović,a,,,5.0,345,63,3.3,99,38,4.7,45,19,4,0,0,0,0,3822,4446,0.9,2.8,4.7,4.7,4.7,63,26,,,22,6,268,94,93,24,84,25,,,,,,,,0.03,0.01,0.04,1.4,0.0,0.33,0.67,1.0,13.0,3,4,90,0,0,0,1,0,0,0,0,0,0,1,0,10,4240,5178,0,0.0,0.01,0.009999999999999995,1.8600000000000003,0.0,0.0,0.0,0.0,1,12,2,13
