player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
286,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,2.0,0.05,0.03,0.0,,,2.0,34.0,11.0,69.0,0.0,3.0,0.0,0.0,1.0,33.0,4.0,1.0,3.0,1.0,1.0,,0.0,6.0,4.0,6.0,67.0,0.0,0.0,1.0,2.0,,,,,,,,0.0,,,,,,,,,0,96,0,0.0,0,,,,,,,
576,26-27-prem-hull-city-vs-manchester-united,71.0,0.0,0.0,,,0.03,,,,0.0,17.0,6.0,75.0,0.0,,1.0,50.0,,,3.0,1.0,2.0,0.0,0.0,,0.0,4.0,,3.0,100.0,1.0,100.0,,0.0,,,,,,,,0.0,,,,,,,,,0,71,0,0.0,0,,,,,,,
432,26-27-prem-hull-city-vs-manchester-united,23.0,0.0,0.0,1.0,0.07,0.01,0.0,,,0.0,34.0,27.0,87.0,0.0,9.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,,,,1.0,100.0,,0.0,,,,,,,,0.0,,,,,,,,,67,96,0,0.0,0,,,,,,,
420,26-27-prem-hull-city-vs-manchester-united,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
162,26-27-prem-hull-city-vs-manchester-united,67.0,0.0,0.0,,,0.23,,,,1.0,67.0,52.0,93.0,0.0,5.0,,,,,1.0,0.0,5.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0,75.0,2.0,67.0,2.0,1.0,,,,,,,,0.0,,,,,,,,,0,67,2,0.0,0,,,,,,,
574,26-27-prem-hull-city-vs-manchester-united,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
586,26-27-prem-hull-city-vs-manchester-united,64.0,1.0,0.0,1.0,0.28,,1.0,,,1.0,38.0,18.0,95.0,0.0,3.0,,,0.0,0.0,0.0,0.0,2.0,1.0,12.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,50.0,,1.0,,,,,,,,0.0,,,,,,,0.32,,0,64,0,0.0,0,,,,,,,
435,26-27-prem-hull-city-vs-manchester-united,10.0,0.0,0.0,,,,,,,0.0,7.0,4.0,80.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,80,96,0,0.0,0,,,,,,,
415,26-27-prem-hull-city-vs-manchester-united,45.0,0.0,0.0,3.0,0.47,0.03,0.0,,,5.0,21.0,8.0,73.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,6.0,0.0,0.0,2.0,50.0,,4.0,,,,,,,,0.0,,,,,,,,,0,46,2,0.0,0,,,,,,,
421,26-27-prem-hull-city-vs-manchester-united,90.0,0.0,0.0,2.0,0.12,0.04,0.0,,,3.0,77.0,62.0,91.0,0.0,7.0,,,1.0,20.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,6.0,3.0,60.0,2.0,33.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,0,96,2,0.0,0,,,,,,,
585,26-27-prem-hull-city-vs-manchester-united,26.0,0.0,0.0,,,,,,,0.0,9.0,3.0,100.0,0.0,,,,,,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,,,,3.0,100.0,,0.0,,,,,,,,0.0,,,,,,,,,64,96,0,0.0,0,,,,,,,
